id,prediction
0,1
1,1
2,0
3,0
4,0
5,1
6,1
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,0
23,0
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,0
33,0
34,1
35,0
36,0
37,1
38,1
39,0
40,1
41,0
42,0
43,0
44,0
45,1
46,1
47,1
48,1
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,1
68,0
69,0
70,0
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,0
79,1
80,1
81,1
82,0
83,1
84,1
85,0
86,1
87,0
88,1
89,0
90,0
91,0
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,1
100,0
101,0
102,1
103,0
104,1
105,1
106,1
107,1
108,0
109,0
110,1
111,1
112,0
113,0
114,0
115,1
116,1
117,0
118,1
119,0
120,0
121,1
122,0
123,0
124,0
125,1
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,0
134,1
135,0
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,1
144,1
145,0
146,1
147,1
148,0
149,1
150,0
151,0
152,1
153,1
154,0
155,1
156,1
157,1
158,1
159,0
160,0
161,0
162,0
163,0
164,1
165,1
166,0
167,0
168,1
169,0
170,1
171,0
172,0
173,1
174,0
175,1
176,1
177,0
178,0
179,0
180,1
181,0
182,1
183,0
184,1
185,1
186,1
187,1
188,1
189,0
190,0
191,0
192,0
193,1
194,1
195,1
196,1
197,1
198,1
199,0
200,0
201,0
202,0
203,1
204,0
205,1
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,1
219,1
220,1
221,0
222,1
223,1
224,1
225,0
226,1
227,0
228,0
229,0
230,1
231,1
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,1
240,1
241,0
242,0
243,1
244,1
245,0
246,0
247,1
248,0
249,0
250,0
251,1
252,1
253,1
254,0
255,0
256,1
257,0
258,0
259,0
260,0
261,1
262,1
263,0
264,0
265,1
266,1
267,1
268,1
269,1
270,0
271,0
272,0
273,1
274,0
275,0
276,1
277,0
278,1
279,1
280,1
281,1
282,1
283,1
284,0
285,0
286,0
287,0
288,1
289,1
290,0
291,0
292,1
293,1
294,0
295,1
296,0
297,1
298,0
299,1
300,0
301,0
302,1
303,1
304,1
305,0
306,1
307,1
308,0
309,1
310,0
311,1
312,1
313,0
314,0
315,1
316,1
317,0
318,0
319,1
320,0
321,1
322,1
323,0
324,0
325,0
326,1
327,0
328,1
329,1
330,1
331,0
332,0
333,1
334,1
335,0
336,0
337,1
338,1
339,1
340,1
341,0
342,1
343,1
344,0
345,1
346,1
347,0
348,0
349,1
350,1
351,0
352,0
353,1
354,1
355,1
356,1
357,1
358,1
359,0
360,1
361,1
362,0
363,0
364,0
365,1
366,1
367,0
368,0
369,0
370,0
371,1
372,1
373,1
374,0
375,1
376,0
377,1
378,1
379,1
380,0
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,1
389,1
390,0
391,0
392,0
393,0
394,1
395,1
396,1
397,1
398,0
399,0
400,1
401,1
402,0
403,0
404,0
405,0
406,1
407,1
408,0
409,0
410,1
411,0
412,1
413,0
414,0
415,1
416,1
417,1
418,1
419,1
420,1
421,0
422,0
423,1
424,1
425,0
426,1
427,1
428,0
429,0
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,0
438,1
439,0
440,0
441,0
442,0
443,1
444,1
445,1
446,1
447,1
448,0
449,0
450,1
451,1
452,0
453,1
454,0
455,1
456,1
457,1
458,1
459,0
460,0
461,1
462,1
463,1
464,0
465,0
466,1
467,0
468,0
469,1
470,0
471,1
472,1
473,0
474,0
475,0
476,0
477,1
478,0
479,1
480,1
481,1
482,0
483,0
484,1
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,0
497,0
498,0
499,1
500,1
501,1
502,0
503,1
504,0
505,1
506,1
507,1
508,1
509,0
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,0
518,1
519,1
520,1
521,1
522,1
523,0
524,1
525,1
526,1
527,0
528,1
529,0
530,1
531,0
532,0
533,0
534,0
535,1
536,0
537,1
538,0
539,0
540,1
541,1
542,1
543,0
544,0
545,1
546,1
547,1
548,1
549,1
550,1
551,0
552,1
553,1
554,1
555,0
556,1
557,0
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,0
567,1
568,0
569,0
570,1
571,0
572,1
573,0
574,0
575,1
576,0
577,0
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,0
588,1
589,1
590,0
591,1
592,0
593,1
594,1
595,0
596,1
597,1
598,1
599,1
600,1
601,0
602,1
603,1
604,1
605,0
606,0
607,1
608,0
609,1
610,1
611,0
612,1
613,1
614,1
615,1
616,0
617,0
618,0
619,1
620,1
621,0
622,0
623,1
624,0
625,0
626,0
627,1
628,0
629,1
630,0
631,1
632,1
633,1
634,0
635,0
636,1
637,1
638,1
639,0
640,1
641,1
642,0
643,0
644,0
645,0
646,0
647,1
648,0
649,1
650,1
651,0
652,1
653,1
654,0
655,0
656,0
657,0
658,1
659,0
660,1
661,1
662,1
663,1
664,0
665,1
666,1
667,0
668,1
669,0
670,1
671,0
672,1
673,0
674,1
675,1
676,0
677,1
678,1
679,0
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,0
692,1
693,1
694,1
695,0
696,0
697,0
698,1
699,1
700,0
701,1
702,1
703,1
704,1
705,0
706,0
707,1
708,0
709,0
710,1
711,0
712,0
713,0
714,0
715,1
716,1
717,0
718,1
719,1
720,0
721,1
722,0
723,1
724,1
725,1
726,0
727,0
728,1
729,0
730,1
731,1
732,1
733,0
734,1
735,1
736,1
737,1
738,1
739,0
740,1
741,1
742,1
743,1
